Event,Time,Team Name,Name,Game Period,Outcome,Player,Location X,Location Y,PSR,Colormark,Positive,Score
125,00:34:57,Belturbet,Free conceded,2,Attacking third,Player 12,,,0,,1,0
126,00:35:14,Killinkere,Kickout,2,Won clean,James Farrelly,0.3792683,0.1704313,1,,1,0
127,00:35:35,Killinkere,Possession lost,2,Handling,,,,-1,,1,0
128,00:35:53,Killinkere,Turnover,2,Interception,Luke Crossan,,,2,,1,0
129,00:36:36,Killinkere,Shot from play,2,Wide,Ciaran Flynn,0.7844512,0.6280982,0,#ed1c24,1,0
130,00:36:41,Killinkere,Attacks,2,Shot taken,Ciaran Flynn,,,0,,1,0
131,00:37:02,Belturbet,Kickout,2,Won clean,,0.5201219,0.3123612,1,,1,0
132,00:37:25,Belturbet,Shot from play,2,2 Points,Player 13,0.2612805,0.7123454,2,#f7941d,1,2
133,00:37:29,Belturbet,Attacks,2,Shot taken,Player 13,,,0,,1,0
134,00:37:48,Killinkere,Kickout,2,Break won,Benny McConnell,0.3605183,0.2372218,1,,1,0
135,00:38:09,Belturbet,Free conceded,2,Middle third,Player 14,,,0,,1,0
136,00:39:08,Killinkere,Shot from play,2,Point,Kevin McCabe,0.8429878,0.3548642,1,#ffffff,1,1
137,00:39:11,Killinkere,Attacks,2,Shot taken,Kevin McCabe,,,0,,1,0
138,00:39:34,Belturbet,Substitution,2,Player 17,Player 9,,,0,,YES,0
139,00:39:37,Belturbet,Kickout,2,Won clean,,0.4378049,0.4884453,1,,1,0
140,00:39:52,Belturbet,Shot from play,2,Point,,0.2315549,0.4725066,1,#ffffff,1,1
141,00:39:56,Belturbet,Attacks,2,Shot taken,,,,0,,1,0
142,00:40:17,Belturbet,Substitution,2,Player 6,Player 1,,,0,,YES,0
143,00:40:44,Belturbet,Shot from play,2,Point,,0.2160061,0.5355023,1,#ffffff,1,1
144,00:40:50,Belturbet,Attacks,2,Shot taken,,,,0,,1,0
145,00:41:01,Belturbet,Substitution,2,Player 1,Player 6,,,0,,YES,0
146,00:41:20,Belturbet,Scoreable free,2,2 Points,Player 11,0.3134146,0.5188046,2,#f7941d,1,2
147,00:41:29,Killinkere,Kickout,2,Break won,Kevin McCabe,0.4094512,0.41027,1,,1,0
148,00:42:09,Killinkere,Shot from play,2,Point,Fiachra Mooney,0.8306403,0.4140649,1,#ffffff,1,1
149,00:42:12,Killinkere,Attacks,2,Shot taken,Fiachra Mooney,,,0,,1,0
150,00:42:40,Killinkere,Substitution,2,Gearoid Traynor,James Farrelly,,,0,,YES,0
151,00:42:43,Belturbet,Kickout,2,Break lost,Conall Mooney,0.472561,0.5286714,1,,0,0
152,00:45:08,Belturbet,Shot from play,2,Wide,Player 2,0.2041159,0.8542752,0,#ed1c24,1,0
153,00:45:13,Belturbet,Attacks,2,Shot taken,Player 2,,,0,,1,0
154,00:45:31,Killinkere,Substitution,2,Gearoid Traynor,Conall Mooney,,,0,,YES,0
155,00:45:37,Killinkere,Kickout,2,Short won,Nathan McQuade,0.1885671,0.911199,1,,1,0
156,00:46:36,Killinkere,Shot from play,2,Goal,Kevin McCabe,0.8864329,0.2432937,3,#70B12A,1,3
157,00:46:51,Killinkere,Attacks,2,Shot taken,Kevin McCabe,,,0,,1,0
158,00:47:28,Killinkere,Bookings,2,Yellow,Benny McConnell,,,-1,,1,0
159,00:47:34,Belturbet,Kickout,2,Break won,,0.4410061,0.6516266,1,,1,0
160,00:48:28,Belturbet,Shot from play,2,Wide,Player 12,0.1858232,0.3541052,0,#ed1c24,1,0
161,00:48:33,Belturbet,Attacks,2,Shot taken,Player 12,,,0,,1,0
162,00:48:47,Killinkere,Kickout,2,Break lost,Player 10,0.3810976,0.181816,1,,0,0
163,00:48:58,Killinkere,Turnover,2,In Contact,Alex Sweeney,,,3,,1,0
164,00:49:13,Killinkere,Possession lost,2,Hand pass,Nathan McQuade,,,-1,,1,0
165,00:49:33,Belturbet,Shot from play,2,2 Points,Player 13,0.2621951,0.2804838,2,#f7941d,1,2
166,00:49:38,Belturbet,Attacks,2,Shot taken,Player 13,,,0,,1,0
167,00:49:55,Killinkere,Kickout,2,Short won,Shane Ryan,0.2022866,0.1643594,1,,1,0
168,00:50:19,Killinkere,Shot from play,2,Point,Fiachra Mooney,0.8329268,0.3146381,1,#ffffff,1,1
169,00:50:25,Killinkere,Attacks,2,Shot taken,Fiachra Mooney,,,0,,1,0
170,00:50:43,Belturbet,Kickout,2,Lost clean,Kevin McCabe,0.6125,0.1658774,1,#ed1c24,0,0
171,00:50:55,Killinkere,Shot from play,2,Goal,Fiachra Mooney,0.9074695,0.6045697,3,#70B12A,1,3
172,00:51:00,Killinkere,Attacks,2,Shot taken,Fiachra Mooney,,,0,,1,0
173,00:51:17,Belturbet,Kickout,2,Break lost,Gearoid Traynor,0.5452744,0.5203226,1,,0,0
174,00:51:29,Killinkere,Shot from play,2,Point,Fiachra Mooney,0.7922256,0.4838914,1,#ffffff,1,1
175,00:51:32,Killinkere,Attacks,2,Shot taken,Fiachra Mooney,,,0,,1,0
176,00:51:44,Killinkere,Substitution,2,Ryan Smith,Fiachra Mooney,,,0,,YES,0
177,00:51:59,Belturbet,Kickout,2,Break won,Player 25,0.5544207,0.316915,1,,1,0
178,00:52:18,Killinkere,Turnover,2,In Contact,Nathan McQuade,,,3,,1,0
179,00:52:56,Killinkere,Possession lost,2,In Contact,Kevin McCabe,,,-1,,1,0
180,00:53:03,Belturbet,Free conceded,2,Middle third,Player 25,,,0,,1,0
181,00:53:36,Killinkere,Scoreable free,2,Point,Darren Smith,0.7958841,0.5248765,1,#ffffff,1,1
182,00:53:43,Killinkere,Attacks,2,Mark taken,Kevin McCabe,,,1,,1,0
183,00:54:02,Belturbet,Kickout,2,Break won,Player 2,0.528811,0.3525873,1,,1,0
184,00:54:35,Belturbet,Shot from play,2,Point,Player 10,0.182622,0.3738388,1,#ffffff,1,1
185,00:54:39,Belturbet,Attacks,2,Shot taken,Player 10,,,0,,1,0
186,00:54:56,Killinkere,Kickout,2,Break lost,Player 15,0.3582317,0.9195478,1,,0,0
187,00:55:10,Killinkere,Turnover,2,In Contact,Shane Ryan,,,3,,1,0
188,00:55:46,Belturbet,Free conceded,2,Defensive third,Player 25,,,-1,,1,0
189,00:56:08,Killinkere,Scoreable free,2,Point,Neill McCabe,0.8827744,0.3844646,1,#ffffff,1,1
190,00:56:13,Killinkere,Attacks,2,Mark taken,Neill McCabe,,,1,,1,0
191,00:56:33,Belturbet,Kickout,2,Lost clean,Alex Sweeney,0.4995427,0.3116022,1,#ed1c24,0,0
192,00:56:52,Killinkere,Possession lost,2,In Contact,Ryan Smith,,,-1,,1,0
193,00:57:25,Belturbet,Free conceded,2,Middle third,Player 6,,,0,,1,0
194,00:58:23,Killinkere,Free conceded,2,Attacking third,Gearoid Traynor,,,0,,1,0
195,00:59:01,Belturbet,Shot from play,2,Wide,Player 10,0.2384146,0.5521998,0,#ed1c24,1,0
196,00:59:06,Belturbet,Attacks,2,Shot taken,Player 10,,,0,,1,0
197,00:59:19,Killinkere,Kickout,2,Won clean,Benny McConnell,0.3797256,0.3920544,1,,1,0
198,00:59:43,Killinkere,Shot from play,2,Point,Alex Sweeney,0.7757622,0.4429063,1,#ffffff,1,1
199,00:59:48,Killinkere,Attacks,2,Shot taken,Alex Sweeney,,,0,,1,0
200,01:00:04,Belturbet,Kickout,2,Lost clean,Luke Crossan,0.5205793,0.4254497,1,#ed1c24,0,0
201,01:00:27,Killinkere,Possession lost,2,Hand pass,Ryan Smith,,,-1,,1,0
202,01:00:37,Killinkere,Turnover,2,Interception,Alex Sweeney,,,2,,1,0
203,01:00:57,Killinkere,Possession lost,2,In Contact,Ciaran Flynn,,,-1,,1,0
204,01:01:02,Killinkere,Attacks,2,Possession lost,Ciaran Flynn,,,0,,1,0
205,01:01:16,Killinkere,Turnover,2,In Contact,Nathan McQuade,,,3,,1,0
