Event,Time,Team Name,Name,Game Period,Outcome,Player,Location X,Location Y,PSR,Colormark,Positive,Score
155,00:47:05,Killinkere,Shot from play,2,Wide,Kevin McCabe,0.8210366,0.6546626,0,#ed1c24,1,0
156,00:47:08,Killinkere,Attacks,2,Shot taken,Kevin McCabe,,,0,,1,0
157,00:47:26,Drumgoon,Kickout,2,Won clean,Player 22,0.4794207,0.4474602,1,,1,0
158,00:47:54,Killinkere,Free conceded,2,Middle third,,,,0,,1,0
159,00:48:20,Drumgoon,Shot from play,2,Wide,Player 9,0.2626524,0.1294462,0,#ed1c24,1,0
160,00:48:25,Drumgoon,Attacks,2,Shot taken,Player 9,,,0,,1,0
161,00:48:29,Killinkere,Kickout,2,Won clean,Alex Sweeney,0.546189,0.8299878,1,,1,0
162,00:49:25,Killinkere,Shot from play,2,2 Points,Jason McMahon,0.725,0.6288572,2,#f7941d,1,2
163,00:49:28,Killinkere,Attacks,2,Shot taken,Jason McMahon,,,0,,1,0
164,00:49:47,Drumgoon,Kickout,2,Break won,Player 9,0.5878049,0.4262086,1,,1,0
165,00:50:14,Killinkere,Free conceded,2,Middle third,Liam McCabe,,,0,,1,0
166,00:50:21,Killinkere,Free conceded,2,Middle third,David Macken,,,0,,1,0
167,00:50:37,Killinkere,Turnover,2,In Contact,Jason McMahon,,,3,,1,0
168,00:50:48,Drumgoon,Free conceded,2,Middle third,Player 14,,,0,,1,0
169,00:52:08,Drumgoon,Free conceded,2,Middle third,Player 6,,,0,,1,0
170,00:53:11,Killinkere,Scoreable free,2,2 Points,Neill McCabe,0.6870427,0.4694707,2,#f7941d,1,2
171,00:53:14,Killinkere,Attacks,2,Shot taken,Neill McCabe,,,0,,1,0
172,00:53:38,Drumgoon,Kickout,2,Break won,Player 11,0.4963415,0.4763016,1,,1,0
173,00:53:56,Drumgoon,Shot from play,2,Short,Player 11,0.09390244,0.4345575,-1,#ed1c24,1,0
174,00:54:08,Drumgoon,Attacks,2,Shot taken,Player 11,,,0,,1,0
175,00:55:31,Killinkere,Shot from play,2,Point,Darren Smith,0.8246951,0.6797091,1,#ffffff,1,1
176,00:55:36,Killinkere,Attacks,2,Shot taken,Darren Smith,,,0,,1,0
177,00:55:52,Drumgoon,Kickout,2,Won clean,Player 9,0.5621951,0.7366328,1,,1,0
178,00:56:19,Killinkere,Turnover,2,In Contact,Nathan McQuade,,,3,,1,0
179,00:56:23,Drumgoon,Attacks,2,Possession lost,Player 22,,,0,,1,0
