Event,Time,Team Name,Name,Game Period,Outcome,Player,Location X,Location Y,PSR,Colormark,Positive,Score
176,00:51:01,Laragh,Scoreable free,2,Wide,Player 11,0.1167683,0.8049413,0,#ed1c24,1,0
177,00:51:07,Laragh,Attacks,2,Shot taken,Player 11,,,0,,1,0
178,00:51:12,Killinkere,Kickout,2,Short won,James Farrelly,0.2457317,0.1469028,1,,1,0
179,00:51:26,Killinkere,Possession lost,2,In Contact,Luke Crossan,,,-1,,1,0
180,00:51:35,Killinkere,Turnover,2,In Contact,Benny McConnell,,,3,,1,0
181,00:51:49,Killinkere,Shot from play,2,Short,Alex Sweeney,0.7721037,0.5036249,-1,#ed1c24,1,0
182,00:51:53,Killinkere,Attacks,2,Shot taken,Alex Sweeney,,,0,,1,0
183,00:51:57,Killinkere,Turnover,2,Interception,James Farrelly,,,2,,1,0
184,00:52:15,Laragh,Free conceded,2,Defensive third,,,,-1,,1,0
185,00:52:48,Killinkere,Scoreable free,2,Point,Cian McGovern,0.7099085,0.3692849,1,#ffffff,1,1
186,00:52:54,Killinkere,Attacks,2,Mark taken,Cian McGovern,,,1,,1,0
187,00:53:10,Laragh,Kickout,2,Break lost,Benny McConnell,0.4039634,0.3996442,1,,0,0
188,00:54:32,Laragh,Free conceded,2,Defensive third,Player 8,,,-1,,1,0
189,00:55:07,Killinkere,Scoreable free,2,Wide,,0.7771341,0.6410009,0,#ed1c24,1,0
190,00:55:19,Killinkere,Substitution,2,Neill McCabe,Cian McGovern,,,0,,YES,0
191,00:55:31,Killinkere,Substitution,2,Ryan Smith,Emmett Fitzsimons,,,0,,YES,0
192,00:55:34,Laragh,Kickout,2,Break lost,James Farrelly,0.4153963,0.5104558,1,,0,0
193,00:55:43,Killinkere,Free conceded,2,Middle third,James Farrelly,,,0,,1,0
194,00:57:41,Killinkere,Shot from play,2,Goal,Ryan Smith,0.9028963,0.6569396,3,#70B12A,1,3
195,00:57:44,Killinkere,Attacks,2,Shot taken,Ryan Smith,,,0,,1,0
196,00:58:37,Laragh,Kickout,2,Break lost,Nathan McQuade,0.3623476,0.1104716,1,,0,0
197,00:59:05,Killinkere,Shot from play,2,Point,Conall Mooney,0.7611281,0.4800965,1,#ffffff,1,1
198,00:59:08,Killinkere,Attacks,2,Shot taken,Conall Mooney,,,0,,1,0
199,00:59:24,Laragh,Kickout,2,Break lost,Neill McCabe,0.5525914,0.45505,1,,0,0
200,00:59:48,Killinkere,Possession lost,2,Hand pass,Alex Sweeney,,,-1,,1,0
201,00:59:55,Killinkere,Turnover,2,Interception,,,,2,,1,0
202,01:00:43,Killinkere,Shot from play,2,Point,Jason McMahon,0.8233232,0.5544768,1,#ffffff,1,1
203,01:00:47,Killinkere,Attacks,2,Shot taken,Jason McMahon,,,0,,1,0
