Event,Time,Period,Team Name,Name,Outcome,Player
40,00:11:26,1,Killinkere,Kickout,Break won,Kevin McCabe
41,00:11:47,1,Killinkere,Possession lost,Handling,Fiachra Mooney
42,00:12:06,1,Killinkere,Free conceded,Middle third,Alex Sweeney
43,00:12:31,1,Denn,Shot from play,Wide,Player 15
44,00:12:41,1,Denn,Attacks,Shot taken,Player 15
45,00:12:49,1,Killinkere,Kickout,Break won,Kevin McCabe
46,00:13:10,1,Killinkere,Possession lost,Hand pass,Kevin McCabe
47,00:13:14,1,Killinkere,Attacks,Carry lost,Kevin McCabe
48,00:13:40,1,Killinkere,Turnover,Interception,Nathan McQuade
49,00:13:52,1,Denn,Attacks,Kick lost,
50,00:14:06,1,Denn,Free conceded,Attacking third,
51,00:14:34,1,Killinkere,Scoreable free,Short,Fiachra Mooney
52,00:14:44,1,Killinkere,Attacks,Mark taken,Fiachra Mooney
53,00:14:49,1,Denn,Free conceded,Defensive third,
54,00:15:22,1,Killinkere,Scoreable free,Point,Darren Smith
55,00:15:27,1,Killinkere,Attacks,Mark taken,Ryan Smith
56,00:15:34,1,Denn,Kickout,Won clean,Player 8
57,00:15:50,1,Denn,Shot from play,Goal,Player 17
58,00:16:24,1,Denn,Free conceded,Attacking third,Player 15
59,00:16:30,1,Killinkere,Kickout,Short won,Luke Crossan
60,00:16:45,1,Killinkere,Shot from play,Goal,Ryan Smith
61,00:16:51,1,Killinkere,Attacks,Shot taken,Ryan Smith
62,00:17:05,1,Denn,Kickout,Break lost,Alex Sweeney
63,00:17:22,1,Killinkere,Possession lost,Hand pass,Darren Smith
64,00:17:27,1,Killinkere,Attacks,Carry lost,Darren Smith
65,00:17:44,1,Killinkere,Turnover,Interception,Benny McConnell
66,00:17:52,1,Killinkere,Free conceded,Defensive third,Benny McConnell
67,00:17:57,1,Denn,Scoreable free,Point,Player 15
68,00:18:19,1,Killinkere,Kickout,Won clean,Alex Sweeney
69,00:18:29,1,Killinkere,Possession lost,Kick pass,Alex Sweeney
70,00:18:33,1,Killinkere,Attacks,Kick lost,Alex Sweeney
71,00:18:55,1,Denn,Shot from play,Point,Player 15
72,00:18:59,1,Denn,Attacks,Shot taken,Player 15
73,00:19:03,1,Killinkere,Kickout,Won clean,Fintan O’Connell
74,00:19:43,1,Killinkere,Shot from play,Short,Fiachra Mooney
75,00:19:49,1,Killinkere,Attacks,Shot taken,Fiachra Mooney
76,00:19:51,1,Denn,Free conceded,Defensive third,
77,00:20:13,1,Killinkere,Scoreable free,Point,Emmett Fitzsimons
78,00:20:22,1,Killinkere,Attacks,Mark taken,Fiachra Mooney
79,00:20:32,1,Denn,Kickout,Short won,Player 17
80,00:20:57,1,Denn,Shot from play,Wide,Player 12
81,00:21:02,1,Denn,Attacks,Kick lost,Player 12
82,00:21:28,1,Killinkere,Free conceded,Middle third,
83,00:21:50,1,Killinkere,Free conceded,Defensive third,
84,00:22:13,1,Denn,Scoreable free,Point,Player 15
85,00:22:17,1,Denn,Attacks,Mark taken,Player 15
86,00:22:36,1,Killinkere,Kickout,Short won,Kevin McCabe
87,00:23:00,1,Killinkere,Shot from play,Point,Alex Sweeney
