Event,Time,Team Name,Name,Game Period,Outcome,Player,Location X,Location Y,PSR,Colormark,Positive,Score
154,00:47:17,Drumlane,Attacks,2,Shot taken,Player 13,,,0,,1,0
155,00:47:31,Killinkere,Kickout,2,Short won,James Farrelly,0.1963415,0.9005732,1,,1,0
156,00:47:54,Killinkere,Possession lost,2,Hand pass,Shane Ryan,,,-1,,1,0
157,00:47:58,Killinkere,Attacks,2,Possession lost,Shane Ryan,,,0,,1,0
158,00:48:07,Drumlane,Possession lost,2,Kick pass,Player 7,,,-1,,1,0
159,00:48:20,Killinkere,Possession lost,2,Kick pass,Alex Sweeney,,,-1,,1,0
160,00:48:44,Drumlane,Shot from play,2,Goal,Player 22,0.1478658,0.5286714,3,#70B12A,1,3
161,00:48:47,Drumlane,Attacks,2,Shot taken,Player 22,,,0,,1,0
162,00:49:08,Killinkere,Kickout,2,Won clean,Benny McConnell,0.378811,0.8421315,1,,1,0
163,00:49:19,Drumlane,Free conceded,2,Middle third,Player 25,,,0,,1,0
164,00:49:34,Killinkere,Shot from play,2,Goal,Alex Sweeney,0.8507622,0.5392972,3,#70B12A,1,3
165,00:49:38,Killinkere,Attacks,2,Shot taken,Alex Sweeney,,,0,,1,0
166,00:49:59,Drumlane,Kickout,2,Break lost,James Farrelly,0.6147866,0.7836897,1,,0,0
167,00:50:55,Drumlane,Free conceded,2,Defensive third,Player 8,,,-1,,1,0
168,00:51:40,Drumlane,Substitution,2,Player 18,Player 12,,,0,,YES,0
169,00:51:47,Killinkere,Scoreable free,2,Wide,Neill McCabe,0.6893293,0.8345416,0,#ed1c24,1,0
170,00:51:57,Killinkere,Attacks,2,Mark taken,Neill McCabe,,,1,,1,0
171,00:52:02,Drumlane,Kickout,2,Break won,,0.5882622,0.2835198,1,,1,0
172,00:52:22,Drumlane,Shot from play,2,Point,Player 27,0.33125,0.6440368,1,#ffffff,1,1
173,00:52:28,Drumlane,Attacks,2,Shot taken,Player 27,,,0,,1,0
174,00:52:54,Killinkere,Kickout,2,Break lost,Player 25,0.583689,0.5286714,1,,0,0
175,00:53:09,Killinkere,Substitution,2,Emmett Fitzsimons,Fiachra Mooney,,,0,,YES,0
176,00:53:17,Drumlane,Shot from play,2,Point,Player 22,0.1071646,0.7783769,1,#ffffff,1,1
177,00:53:23,Drumlane,Attacks,2,Shot taken,Player 22,,,0,,1,0
178,00:53:37,Killinkere,Kickout,2,Won clean,Kevin McCabe,0.3646342,0.1195794,1,,1,0
179,00:53:46,Killinkere,Possession lost,2,In Contact,Kevin McCabe,,,-1,,1,0
180,00:53:56,Killinkere,Free conceded,2,Defensive third,Nathan McQuade,,,-1,,1,0
181,00:54:41,Drumlane,Scoreable free,2,Wide,Player 13,0.2375,0.3844646,0,#ed1c24,1,0
182,00:54:50,Drumlane,Attacks,2,Mark taken,Player 13,,,1,,1,0
183,00:54:59,Killinkere,Kickout,2,Won clean,Kevin McCabe,0.4483232,0.1324821,1,,1,0
184,00:55:11,Killinkere,Possession lost,2,In Contact,Kevin McCabe,,,-1,,1,0
185,00:55:26,Drumlane,Shot from play,2,Point,Player 13,0.228811,0.4193778,1,#ffffff,1,1
186,00:55:43,Drumlane,Attacks,2,Shot taken,Player 13,,,0,,1,0
187,00:55:50,Killinkere,Kickout,2,Break won,James Farrelly,0.4908537,0.5059019,1,,1,0
188,00:56:16,Drumlane,Free conceded,2,Defensive third,Player 25,,,-1,,1,0
189,00:56:32,Drumlane,Bookings,2,Black,Player 25,,,-2,,1,0
190,00:56:43,Killinkere,Scoreable free,2,Point,Neill McCabe,0.7743902,0.5332253,1,#ffffff,1,1
191,00:56:48,Killinkere,Attacks,2,Mark taken,Ciaran Flynn,,,1,,1,0
192,00:57:07,Drumlane,Kickout,2,Break lost,Shane Ryan,0.4579268,0.7700281,1,,0,0
193,00:57:27,Killinkere,Shot from play,2,Wide,Alex Sweeney,0.6925305,0.6235443,0,#ed1c24,1,0
194,00:57:31,Killinkere,Attacks,2,Shot taken,Alex Sweeney,,,0,,1,0
195,00:57:51,Killinkere,Substitution,2,Philip Corrigan,Harry Banville,,,0,,YES,0
196,00:58:03,Drumlane,Kickout,2,Short won,Player 15,0.704878,0.9149939,1,,1,0
197,00:58:44,Drumlane,Substitution,2,Player 9,Player 15,,,0,,YES,0
198,00:59:21,Drumlane,Shot from play,2,Short,Player 27,0.1844512,0.7419457,-1,#ed1c24,1,0
199,00:59:25,Drumlane,Attacks,2,Shot taken,Player 27,,,0,,1,0
200,00:59:37,Killinkere,Turnover,2,In Contact,Alex Sweeney,,,3,,1,0
201,00:59:42,Drumlane,Attacks,2,Shot taken,,,,0,,1,0
202,01:00:02,Drumlane,Free conceded,2,Defensive third,Player 4,,,-1,,1,0
203,01:00:23,Killinkere,Scoreable free,2,Point,Neill McCabe,0.7931402,0.633411,1,#ffffff,1,1
204,01:00:26,Killinkere,Attacks,2,Mark taken,Neill McCabe,,,1,,1,0
205,01:00:44,Drumlane,Kickout,2,Break won,Player 8,0.7213415,0.7981104,1,,1,0
206,01:00:57,Killinkere,Turnover,2,Interception,Liam McCabe,,,2,,1,0
207,01:01:29,Killinkere,Possession lost,2,Handling,Ciaran Flynn,,,-1,,1,0
208,01:01:45,Drumlane,Kickout,2,Lost clean,Jason McMahon,0.6143293,0.8406135,1,#ed1c24,0,0
209,01:02:14,Killinkere,Possession lost,2,Handling,Ciaran Flynn,,,-1,,1,0
210,01:02:18,Killinkere,Attacks,2,Possession lost,Ciaran Flynn,,,0,,1,0
