Event,Time,Team Name,Name,Game Period,Outcome,Player,Location X,Location Y,PSR,Colormark,Positive,Score
186,00:54:32,Killinkere,Turnover,2,In Contact,Ciaran Cusack,,,3,,1,0
187,00:54:41,Killinkere,Shot from play,2,Short,Harry McQuade,0.1785061,0.2949045,-1,#ed1c24,1,0
188,00:54:45,Killinkere,Attacks,2,Shot taken,Harry McQuade,,,0,,1,0
189,00:55:08,Killinkere,Free conceded,2,Middle third,,,,0,,1,0
190,00:55:18,Killinkere,Turnover,2,Interception,Darrell Dolan,,,2,,1,0
191,00:55:30,Killinkere,Possession lost,2,Kick pass,Ciaran Cusack,,,-1,,1,0
192,00:55:38,Killinkere,Turnover,2,Interception,Ciaran Cusack,,,2,,1,0
193,00:56:03,Killinkere,Free conceded,2,Penalty,,,,-2,,1,0
194,00:56:26,Ballyhaise,Shot from play,2,Save,,0.828811,0.5089378,0,#ed1c24,1,0
195,00:56:31,Ballyhaise,Attacks,2,Shot taken,,,,0,,1,0
196,00:56:40,Ballyhaise,Shot from play,2,Point,,0.8571646,0.5499229,1,#ffffff,1,1
197,00:56:51,Killinkere,Kickout,2,Break won,Ciaran Cusack,0.5118902,0.4588449,1,,1,0
198,00:57:07,Killinkere,Shot from play,2,Goal,Ciaran Cusack,0.2064024,0.4520141,3,#70B12A,1,3
199,00:57:14,Killinkere,Attacks,2,Shot taken,Ciaran Cusack,,,0,,1,0
